name_id,link
黯奴,NA
呉敦,k.html#Go-Ton
伊籍,shu8.html#I-Seki
陰化,a.html#In-Ka1
尹楷,a.html#In-Kai1
陰夔,a.html#In-Ki1
殷署,a.html#In-Sho
尹黙,shu12.html#In-Moku
尹礼,a.html#In-Rei
尹盧,a.html#In-Ro
尹礼,a.html#In-Rei
烏延,a.html#Uen1
于禁,wei17.html#U-Kin
于毒,a.html#U-Doku
衛演,a.html#Ei-En1
嬰子,NA
孫観,s.html#Son-Kan
衛茲,a.html#Ei-Ji
潁容,a.html#Ei-You1
閻宇,a.html#En-U
閻豔,a.html#En-En
閻行,a.html#En-Kou
閻行,a.html#En-Kou
袁嗣,a.html#En-Shi1
袁術,NA
袁叙,a.html#En-Jo1
袁術,NA
袁譚,a.html#En-Tan1
閻忠,a.html#En-Chuu1
袁霸,a.html#En-Ha1
袁買,a.html#En-Bai1
閻圃,a.html#En-Ho1
袁約,a.html#En-Yaku
王威,a.html#Ou-I1
王異,fem.html#Ou-I1
王允,han.html#Ou-In1
王楷,a.html#Ou-Kai1
王含,a.html#Ou-Gan1
王匡,a.html#Ou-Kyou
王建,a.html#Ou-Ken1
王宏,a.html#Ou-Kou1
王思,a.html#Ou-Shi
王儁,a.html#Ou-Shun1
王商,a.html#Ou-Shou1
王象,a.html#Ou-Shou2
王忠,a.html#Ou-Chuu1
王必,a.html#Ou-Hitsu
王平,shu13.html#Ou-Hei
王甫,a.html#Ou-Ho1
王方,a.html#Ou-Hou1
王摩,a.html#Ou-Ma1
王門,a.html#Ou-Mon1
王邑,a.html#Ou-Yuu1
応余,a.html#Ou-Yo1
王林,a.html#Ou-Rin1
王累,a.html#Ou-Rui1
王連,shu11.html#Ou-Ren
於夫羅,a.html#Ofura
於扶羅,NA
於夫羅,a.html#Ofura
蒯越,k.html#Kai-Etsu1
蒯祺,k.html#Kai-Ki1
蒯良,k.html#Kai-Ryou1
何顒,han.html#Ka-Gyou1
郭援,k.html#Kaku-En
郝凱,k.html#Kaku-Gai1
楽何当,k.html#Gaku-Katou1
郭汜,k.html#Kaku-Shi1
霍峻,shu11.html#Kaku-Shun
郝昭,k.html#Kaku-Shou2
郭昭,k.html#Kaku-Shou1
楽進,wei17.html#Gaku-Shin
郭祖,k.html#Kaku-So
郭多,k.html#Kaku-Ta1
郭汜,k.html#Kaku-Shi1
楽綝,k.html#Gaku-Chin1
郭図,k.html#Kaku-To1
霍奴,k.html#Kaku-Do1
郭氾,k.html#Kaku-Han1
郭汜,k.html#Kaku-Shi1
郝萌,k.html#Kaku-Bou1
郭攸之,k.html#Kaku-Yuushi1
賈洪,k.html#Ka-Kou1
夏侯淵,wei9.html#Kakou-En
夏侯恵,k.html#Kakou-Kei1
夏侯儒,k.html#Kakou-Ju1
夏侯惇,wei9.html#Kakou-Ton
夏昭,k.html#Ka-Shou1
賈信,k.html#Ka-Shin
何攀,jin.html#Ka-Han
賈範,k.html#Ka-Han1
何平,k.html#Ka-Hei
王平,shu13.html#Ou-Hei
何茂,k.html#Ka-Bou1
華雄,k.html#Ka-Yuu1
葉雄,s.html#Shou-Yuu1
関羽,shu6.html#Kan-U
管亥,k.html#Kan-Gai1
桓礹,k.html#Kan-Gan1
桓曄,k.html#Kan-You1
韓揆,k.html#Kan-Ki1
韓莒子,k.html#Kan-Kyoshi1
桓厳,k.html#Kan-Gen1
桓曄,k.html#Kan-You1
桓儼,k.html#Kan-Gen2
桓曄,k.html#Kan-You1
韓玄,k.html#Kan-Gen
韓珩,k.html#Kan-Kou1
韓浩,k.html#Kan-Kou2
韓若,k.html#Kan-Jaku1
韓猛,k.html#Kan-Mou1
韓猛,k.html#Kan-Mou1
関純,k.html#Kan-Jun2
閔純,h.html#Bin-Jun1
韓荀,k.html#Kan-Jun1
韓猛,k.html#Kan-Mou1
管承,k.html#Kan-Shou
韓韶,han.html#Kan-Shou1
簡将軍,NA
簡雍,shu8.html#Kan-You
韓遂,k.html#Kan-Sui1
韓嵩,k.html#Kan-Suu1
関靖,k.html#Kan-Sei1
韓暹,k.html#Kan-Sen
綸直,k.html#Kan-Choku1
綸直,r.html#Rin-Choku1
桓典,k.html#Kan-Ten1
韓当,wu10.html#Kan-Tou
管統,k.html#Kan-Tou
甘寧,wu10.html#Kan-Nei
韓範,k.html#Kan-Han1
韓馥,k.html#Kan-Fuku
韓猛,k.html#Kan-Mou1
