article,is_tk,is_han,name_id,is_engi
曹霖,TRUE,FALSE,曹霖,FALSE
何苗,TRUE,TRUE,何苗,FALSE
典満,TRUE,FALSE,典満,FALSE
呂乂,TRUE,FALSE,呂乂,FALSE
呂曠,TRUE,FALSE,呂曠,FALSE
呉蘭,TRUE,FALSE,呉蘭,FALSE
周羣,TRUE,FALSE,周羣,FALSE
周舒,TRUE,FALSE,周舒,FALSE
孫皎,TRUE,FALSE,孫皎,FALSE
張虎,TRUE,TRUE,張虎,FALSE
曹彪,TRUE,FALSE,曹彪,FALSE
曹鑠,TRUE,FALSE,曹鑠,FALSE
李密_(蜀),TRUE,FALSE,李密,FALSE
楊洪,TRUE,FALSE,楊洪,FALSE
申耽,TRUE,FALSE,申耽,FALSE
留略,TRUE,FALSE,留略,FALSE
程秉,TRUE,FALSE,程秉,FALSE
許儀,TRUE,FALSE,許儀,FALSE
許慈,TRUE,FALSE,許慈,FALSE
鄒靖,TRUE,TRUE,鄒靖,FALSE
閻温,TRUE,FALSE,閻温,FALSE
韓猛,TRUE,FALSE,韓猛,FALSE
劉和_(後漢),TRUE,FALSE,劉和,FALSE
呉匡,TRUE,FALSE,呉匡,FALSE
曹據,TRUE,FALSE,曹據,FALSE
曹纂,TRUE,FALSE,曹纂,FALSE
李簡,TRUE,FALSE,李簡,FALSE
杜畿,TRUE,FALSE,杜畿,FALSE
楊阜,TRUE,FALSE,楊阜,FALSE
石徳林,TRUE,FALSE,石徳林,FALSE
陸瑁,TRUE,FALSE,陸瑁,FALSE
丘力居,TRUE,FALSE,丘力居,FALSE
公孫晃,TRUE,FALSE,公孫晃,FALSE
劉元起,TRUE,TRUE,劉元起,FALSE
周旨,TRUE,FALSE,周旨,FALSE
孫盛_(三国志),TRUE,FALSE,孫盛,FALSE
蒋斌,TRUE,FALSE,蒋斌,FALSE
蒋顕,TRUE,FALSE,蒋顕,FALSE
徐幹,TRUE,FALSE,徐幹,FALSE
戴員,TRUE,TRUE,戴員,FALSE
満偉,TRUE,FALSE,満偉,FALSE
満奮,TRUE,FALSE,満奮,FALSE
満長武,TRUE,FALSE,満長武,FALSE
焦和,TRUE,FALSE,焦和,FALSE
紀陟,TRUE,FALSE,紀陟,FALSE
趙氏,TRUE,FALSE,趙氏,FALSE
趙直,TRUE,FALSE,趙直,FALSE
韋晃,TRUE,FALSE,韋晃,FALSE
郭馬,TRUE,FALSE,郭馬,FALSE
張横_(後漢),TRUE,FALSE,張横,FALSE
敬哀皇后張氏,TRUE,FALSE,敬哀皇后,FALSE
文徳皇后郭氏,TRUE,FALSE,郭皇后,FALSE
文昭皇后甄氏,TRUE,FALSE,甄氏,FALSE
穆皇后呉氏,TRUE,FALSE,穆皇后,FALSE
邯鄲淳,TRUE,FALSE,邯鄲淳,FALSE
張皇后_(劉禅),TRUE,FALSE,張皇后,FALSE
丁固,TRUE,FALSE,丁固,FALSE
小喬,TRUE,FALSE,小橋,FALSE
殷観,TRUE,FALSE,殷観,FALSE
程咨,TRUE,FALSE,程咨,FALSE
侯音,TRUE,FALSE,侯音,FALSE
劉岱_(小沛),TRUE,FALSE,劉岱,FALSE
劉瑁,TRUE,FALSE,劉瑁,FALSE
劉範,TRUE,FALSE,劉範,FALSE
劉辟,TRUE,FALSE,劉辟,FALSE
張達,TRUE,FALSE,張達,FALSE
張震_(孫呉),TRUE,FALSE,張震,FALSE
曹袞,TRUE,FALSE,曹袞,FALSE
李蒙,TRUE,FALSE,李蒙,FALSE
杜襲,TRUE,FALSE,杜襲,FALSE
桓階,TRUE,FALSE,桓階,FALSE
楊白,TRUE,FALSE,楊白,FALSE
王方,TRUE,FALSE,王方,FALSE
管亥,TRUE,FALSE,管亥,FALSE
綸直,TRUE,FALSE,綸直,FALSE
臧洪,TRUE,FALSE,臧洪,FALSE
范彊,TRUE,FALSE,范彊,FALSE
蒋義渠,TRUE,FALSE,蒋義渠,FALSE
袁隗,TRUE,TRUE,袁隗,FALSE
丘建,TRUE,FALSE,丘建,FALSE
何植,TRUE,FALSE,何植,FALSE
俄何焼戈,TRUE,FALSE,俄何焼戈,FALSE
唐咨,TRUE,FALSE,唐咨,FALSE
州泰,TRUE,FALSE,州泰,FALSE
師簒,TRUE,FALSE,師簒,FALSE
張特,TRUE,FALSE,張特,FALSE
朱讃,TRUE,FALSE,朱讃,FALSE
田続,TRUE,FALSE,田続,FALSE
迷当,TRUE,FALSE,迷当,FALSE
黄承彦,TRUE,FALSE,黄承彦,FALSE
劉基_(呉),TRUE,FALSE,劉基,FALSE
呉景,TRUE,TRUE,呉景,FALSE
大喬,TRUE,FALSE,大喬,FALSE
孫壱,TRUE,FALSE,孫壱,FALSE
孫夫人,TRUE,FALSE,孫夫人,FALSE
孫奉,TRUE,FALSE,孫奉,FALSE
岑昏,TRUE,FALSE,岑昏,FALSE
張梁,TRUE,TRUE,張梁,FALSE
李通_(文達),TRUE,FALSE,李通,FALSE
蔡エン,TRUE,TRUE,蔡琰,FALSE
諸葛玄,TRUE,FALSE,諸葛玄,FALSE
鄭玄,TRUE,TRUE,鄭玄,FALSE
陳祗,TRUE,FALSE,陳祗,FALSE
雍ガイ,TRUE,FALSE,雍闓,FALSE
魏諷,TRUE,FALSE,魏諷,FALSE
于糜,TRUE,FALSE,于糜,FALSE
厳綱,TRUE,FALSE,厳綱,FALSE
呂威コウ,TRUE,FALSE,呂威璜,FALSE
呂布,TRUE,TRUE,呂布,FALSE
夏侯儒,TRUE,FALSE,夏侯儒,FALSE
孟光,TRUE,FALSE,孟光,FALSE
宗預,TRUE,FALSE,宗預,FALSE
張裔,TRUE,FALSE,張裔,FALSE
李セン,TRUE,FALSE,李譔,FALSE
杜微,TRUE,FALSE,杜微,FALSE
杜瓊,TRUE,FALSE,杜瓊,FALSE
来敏,TRUE,FALSE,来敏,FALSE
楊戯,TRUE,FALSE,楊戯,FALSE
楽チン,TRUE,FALSE,楽綝,FALSE
趙範,TRUE,FALSE,趙範,FALSE
陸機,TRUE,FALSE,陸機,FALSE
雷銅,TRUE,FALSE,雷銅,FALSE
馬休,TRUE,FALSE,馬休,FALSE
馬遵,TRUE,FALSE,馬遵,FALSE
馬鉄,TRUE,FALSE,馬鉄,FALSE
劉エン_(威碩),TRUE,FALSE,劉琰,FALSE
劉延,TRUE,FALSE,劉延,FALSE
劉放,TRUE,FALSE,劉放,FALSE
劉璋,TRUE,TRUE,劉璋,FALSE
劉闡,TRUE,FALSE,劉闡,FALSE
去卑,TRUE,FALSE,去卑,FALSE
夏侯令女,TRUE,FALSE,夏侯令女,FALSE
夏侯献,TRUE,FALSE,夏侯献,FALSE
孫河,TRUE,TRUE,孫河,FALSE
張表,TRUE,FALSE,張表,FALSE
彭ヨウ,TRUE,FALSE,彭羕,FALSE
成宜,TRUE,FALSE,成宜,FALSE
曹嵩,TRUE,TRUE,曹嵩,FALSE
朱褒,TRUE,FALSE,朱褒,FALSE
李堪,TRUE,FALSE,李堪,FALSE
李福,TRUE,FALSE,李福,FALSE
李驤,TRUE,FALSE,李驤,FALSE
梁興,TRUE,FALSE,梁興,FALSE
楊秋,TRUE,FALSE,楊秋,FALSE
焦触,TRUE,FALSE,焦触,FALSE
盧毓,TRUE,FALSE,盧毓,FALSE
趙累,TRUE,FALSE,趙累,FALSE
郭援,TRUE,FALSE,郭援,FALSE
閻圃,TRUE,FALSE,閻圃,FALSE
韓綜,TRUE,FALSE,韓綜,FALSE
高定,TRUE,FALSE,高定,FALSE
キョウ都,TRUE,FALSE,龔都,FALSE
スイ固,TRUE,TRUE,眭固,FALSE
ホウ徳公,TRUE,FALSE,龐徳公,FALSE
劉カイ,TRUE,FALSE,劉璝,FALSE
劉誕,TRUE,FALSE,劉誕,FALSE
句扶,TRUE,FALSE,句扶,FALSE
史渙,TRUE,FALSE,史渙,FALSE
呂公,TRUE,FALSE,呂公,FALSE
呉綱,TRUE,FALSE,呉綱,FALSE
張温_(後漢),TRUE,TRUE,張温,FALSE
曹林,TRUE,FALSE,曹林,FALSE
曹楷,TRUE,FALSE,曹楷,FALSE
樊能,TRUE,FALSE,樊能,FALSE
清河長公主,TRUE,FALSE,清河長公主,FALSE
王連,TRUE,FALSE,王連,FALSE
許貢,TRUE,TRUE,許貢,FALSE
費立,TRUE,FALSE,費立,FALSE
陳生,TRUE,FALSE,陳生,FALSE
公孫範,TRUE,FALSE,公孫範,FALSE
周循,TRUE,FALSE,周循,FALSE
尹礼,TRUE,FALSE,尹礼,FALSE
曹チョ,TRUE,FALSE,曹攄,FALSE
曹肇,TRUE,FALSE,曹肇,FALSE
沈瑩,TRUE,FALSE,沈瑩,FALSE
田楷,TRUE,FALSE,田楷,FALSE
衛演,TRUE,FALSE,衛演,FALSE
馬忠_(孫呉),TRUE,FALSE,馬忠,FALSE
馬忠_(蜀漢),TRUE,FALSE,馬忠,FALSE
黄邵,TRUE,FALSE,黄邵,FALSE
カン丘甸,TRUE,FALSE,毌丘甸,FALSE
呼廚泉,TRUE,FALSE,呼廚泉,FALSE
夏侯徽,TRUE,FALSE,夏侯徽,FALSE
尹賞,TRUE,FALSE,尹賞,FALSE
曹冏,TRUE,FALSE,曹冏,FALSE
曹冏_(皇子),TRUE,FALSE,曹冏,FALSE
檀石槐,TRUE,TRUE,檀石槐,FALSE
胡遵,TRUE,FALSE,胡遵,FALSE
董白,TRUE,FALSE,董白,FALSE
張翼,TRUE,FALSE,張翼,FALSE
曹徳,TRUE,FALSE,曹徳,FALSE
曹志,TRUE,FALSE,曹志,FALSE
曹邵,TRUE,FALSE,曹邵,FALSE
温恢,TRUE,FALSE,温恢,FALSE
董襲,TRUE,FALSE,董襲,FALSE
諸葛京,TRUE,FALSE,諸葛京,FALSE
劉馥,TRUE,FALSE,劉馥,FALSE
吉本_(後漢),TRUE,FALSE,吉本,FALSE
和連,TRUE,FALSE,和連,FALSE
夏舎,TRUE,FALSE,夏舎,FALSE
孫羌,TRUE,FALSE,孫羌,FALSE
孫邵,TRUE,FALSE,孫邵,FALSE
宋謙,TRUE,FALSE,宋謙,FALSE
崔烈,TRUE,TRUE,崔烈,FALSE
張曼成,TRUE,TRUE,張曼成,FALSE
徐コン,TRUE,TRUE,徐琨,FALSE
明元皇后郭氏,TRUE,FALSE,郭皇后,FALSE
杜恕,TRUE,FALSE,杜恕,FALSE
柯吾,TRUE,FALSE,柯吾,FALSE
橋ズイ,TRUE,FALSE,橋蕤,FALSE
治無載,TRUE,FALSE,治無載,FALSE
芒中,TRUE,FALSE,芒中,FALSE
荀爽,TRUE,TRUE,荀爽,FALSE
于毒,TRUE,FALSE,于毒,FALSE
単経,TRUE,FALSE,単経,FALSE
武宣皇后卞氏,TRUE,FALSE,卞氏,FALSE
段ワイ,TRUE,TRUE,段煨,FALSE
趙昂,TRUE,FALSE,趙昂,FALSE
鄒丹,TRUE,FALSE,鄒丹,FALSE
カク萌,TRUE,FALSE,郝萌,FALSE
トウ義,TRUE,FALSE,鄧義,FALSE
トウ賢,TRUE,FALSE,鄧賢,FALSE
トウ龍,TRUE,FALSE,鄧龍,FALSE
任岐,TRUE,FALSE,任岐,FALSE
冷苞,TRUE,FALSE,冷苞,FALSE
劉先,TRUE,FALSE,劉先,FALSE
劉磐,TRUE,FALSE,劉磐,FALSE
呉敦,TRUE,FALSE,呉敦,FALSE
周ヒ,TRUE,FALSE,周毖,FALSE
周慎,TRUE,FALSE,周慎,FALSE
孫奮,TRUE,FALSE,孫奮,FALSE
孫慮,TRUE,FALSE,孫慮,FALSE
孫観,TRUE,FALSE,孫観,FALSE
