name,name_id
衛カン,衛瓘
王[斤頁],王頎
王キ,王頎
王リョウ,王凌
華キン,華歆
[赤β]昭,郝昭
賈[言羽],賈詡
賈ク,賈詡
郭シ,郭汜
カク昭,郝昭
カク萌,郝萌
楽[糸林],楽綝
楽チン,楽綝
カン丘倹,毌丘倹
カン丘甸,毌丘甸
カン丘秀,毌丘秀
カイ越,蒯越
カイ良,蒯良
韓・子,韓莒子
韓キョ子,韓莒子
カン沢,闞沢
魏バク,魏邈
橋ズイ,橋蕤
キョウ都,龔都
許[ﾈ者],許褚
許チョ,許褚
虞シ,虞汜
ケイ道栄,邢道栄
厳シュン,厳畯
公孫[王賛],公孫瓚
公孫サン,公孫瓚
孔[ｲ由],孔伷
孔チュウ,孔伷
皇甫ガイ,皇甫闓
崔[王炎],崔琰
崔エン,崔琰
蔡エン,蔡琰
蔡ヨウ,蔡邕
サク融,笮融
司馬チュウ,司馬伷
司馬[ｲ由],司馬伷
周キン,周昕
荀イク,荀彧
荀ギ,荀顗
荀シン,荀諶
ショウ周,譙周
[言焦]周,譙周
諸葛[青見],諸葛靚
諸葛セイ,諸葛靚
徐[之貌],徐邈
徐バク,徐邈
蒋[王宛],蒋琬
蒋エン,蒋琬
鍾ヨウ,鍾繇
鍾ﾖｳ,鍾繇
秦[ウ必],秦宓
秦フク,秦宓
辛［田比］,辛毗
辛ピ,辛毗
[目圭]固,眭固
スイ固,眭固
スイ元進,眭元進
薛ク,薛珝
全[示韋],全禕
全ソウ,全琮
全イ,全禕
金イ,金禕
孫[音欠],孫歆
孫[糸林],孫綝
孫キン,孫歆
孫チン,孫綝
孫ワン,孫𩅦
張ガイ,張闓
張[合β],張郃
張[之貌],張邈
張コウ,張郃
張バク,張邈
程イク,程昱
陶[王黄],陶璜
トウ頓,蹋頓
トウ艾,鄧艾
トウ賢,鄧賢
トウ芝,鄧芝
トウ忠,鄧忠
トウ茂,鄧茂
ネイ随,甯随
馬[之貌],馬邈
馬バク,馬邈
馬日テイ,馬日磾
万イク,万彧
費[示韋],費禕
費イ,費禕
馮タン,馮紞
傅[丹彡],傅彤
傅カ,傅嘏
傅トウ,傅彤
[广龍]会,龐会
ホウ会,龐会
[广龍]統,龐統
ホウ統,龐統
[广龍]徳,龐悳
ホウ徳,龐悳
[广龍]羲,龐羲
ホウ羲,龐羲
歩シツ,歩騭
毛[王介],毛玠
毛カイ,毛玠
雍ガイ,雍闓
羊[示古],羊祜
羊コ,羊祜
李[イ寉],李傕
李[音欠],李歆
李カク,李傕
劉・,劉晙
劉キ,劉琦
劉ソウ,劉琮
劉［王貴］,劉璝
劉カイ,劉璝
劉セン,劉璿
劉シン,劉諶
劉ヨウ,劉繇
呂威コウ,呂威璜
